reference,clip_id,clip_voyage_id,clip_image_filename,clip_scale,clip_rotation,clip_translation_x,clip_translation_y,clip_clip_x1,clip_clip_y1,clip_clip_width,clip_clip_height,image_path,pixel_x,pixel_y,pixel_width,pixel_height
833/6,201,38040,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (3).JPG,0.6459264706,0.00,-1878,-1311,297,377,1158,165,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (3).JPG,2174.5,1718.7,1792.8,255.4
833/6,202,38041,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (5).JPG,0.7034139265,3.00,-1883,-822,280,279,1263,133,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (5).JPG,2157.5,877.1,1795.5,189.1
833/6,203,38042,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (5).JPG,0.7034139265,3.00,-1883,-822,268,389,1263,133,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (5).JPG,2140.5,1033.5,1795.5,189.1
833/6,204,38043,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (5).JPG,0.7034139265,3.00,-1883,-822,261,500,1263,133,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (5).JPG,2130.5,1191.3,1795.5,189.1
833/6,205,38044,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (7).JPG,0.5872058824,0.00,-954,-887,238,373,955,141,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (7).JPG,500.3,998.5,1626.3,240.1
833/6,206,38045,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (8).JPG,0.7105191176,0.00,-709,-1384,229,285,1217,163,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (8).JPG,433.6,1684.1,1712.8,229.4
833/6,207,38046,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (8).JPG,0.7105191176,0.00,-709,-1384,235,394,1217,131,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (8).JPG,442.1,1837.5,1712.8,184.4
833/6,208,38047,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (10).JPG,0.7815710294,-3.00,-575,-2009,246,306,1373,154,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (10).JPG,442.3,2505.9,1756.7,197.0
833/6,209,38048,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (12).JPG,0.8597281324,0.00,-737,-1595,39,355,1482,183,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (12).JPG,547.6,2001.9,1723.8,212.9
833/6,210,38049,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (13).JPG,0.9084365550,-3.00,-530,-498,26,296,1559,178,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (13).JPG,392.7,709.5,1716.1,195.9
833/6,211,38050,E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (17).JPG,0.7815710294,-3.00,-1990,-1422,216,534,1550,143,833_6/E 190_833_6 Southampton 25 Dec 1683 - 25 Dec 1684 (17).JPG,2214.4,2046.5,1983.2,183.0
